车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
大众 捷达 2015款 1.6L 手动舒适型,严选车,¥4.72,新车指导价10.70万(含税),2015-04,5.16万公里,国四,1.6,0次过户,2021-4,2020-4,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/db639a37f395fe2ax.htm
别克 凯越 2013款 1.5L 手动尊享型,严选车,3.91,原价4万,2014-08,6.35万公里,国四,1.5,0次过户,2020-8,2019-8,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/cq/ead1892b81455ff5x.htm
雪铁龙C4L 2014款 1.8L 智驱版 手动劲享型,严选车,4.64,原价4.66万,2013-12,8.4万公里,国四,1.8,0次过户,2019-12,2019-12,已过期,1.8L 139马力 L4,5档手动变速箱(MT),https://www.guazi.com/cq/ac73c1a092d79614x.htm
标致508 2015款 1.6THP 自动致逸版,严选车,9.27,原价9.43万,2016-05,6.64万公里,国五,1.6,1次过户,2020-5,2020-4,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cq/7782ee36ff4c9453x.htm
陆风X7 2018款 劲越 1.5T 铂金版,严选车,¥10.21,新车指导价16.40万(含税),2019-05,0.66万公里,国五,1.5,0次过户,2021-5,2020-5,已过期,1.5T 163马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/cd/8fc6abd169a1b70fx.htm
福特 蒙迪欧 2018款 EcoBoost 180 豪华型,严选车,¥14.98,新车指导价23.20万(含税),2018-05,0.87万公里,国五,1.5,1次过户,2020-5,2020-5,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/34d872352ac81339x.htm
长安 悦翔V7 2015款 1.6L 自动乐享型 国IV,严选车,4.04,原价4.1万,2015-06,7.75万公里,国四,1.6,0次过户,2019-6,2019-7,已过期,1.6L 124马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/cq/6ff0f824a13d6126x.htm
陆风X7 2018款 劲越 1.5T 铂金版,严选车,¥10.07,新车指导价16.40万(含税),2019-05,0.84万公里,国五,1.5,0次过户,2021-5,2020-5,已过期,1.5T 163马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/cd/0b7d774325f1c32fx.htm
长安 逸动 2014款 1.6L 手动尊贵型,严选车,¥3.61,新车指导价9.30万(含税),2014-09,7.06万公里,国四,1.6,1次过户,2020-9,2019-9,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/396ba4fba2a76c1fx.htm
长安 逸动 2014款 1.6L 手动豪华型,严选车,¥3.68,新车指导价8.70万(含税),2014-08,3.61万公里,国四,1.6,2次过户,2020-8,2019-8,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/a7f5cf75613386f5x.htm
大众 途观 2013款 1.8TSI 自动两驱舒适版,严选车,¥9.53,新车指导价25.80万(含税),2013-08,12.26万公里,国四,1.8,0次过户,2019-8,2019-7,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cq/e83ebdda3def739cx.htm
雪铁龙 爱丽舍 2014款 1.6L 手动时尚型,严选车,3.35,原价3.45万,2014-01,4.71万公里,国四,1.6,1次过户,2020-1,2020-1,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/cq/fcd79c7e63c3f6c8x.htm
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,严选车,¥9.59,新车指导价23.60万(含税),2014-05,8.31万公里,国四,1.6,0次过户,2020-5,2019-5,已过期,1.6T 177马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/950c65bdf90f90afx.htm
MG3 2014款 1.5L AMT精英版,严选车,3.12,原价3.22万,2014-06,7.26万公里,国五,1.5,1次过户,2020-6,2019-7,已过期,1.5L 109马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/cq/22bb2ba55cd806b4x.htm
纳智捷 优6 SUV 2014款 1.8T 时尚型,严选车,¥5.77,新车指导价16.30万(含税),2015-04,3.44万公里,国五,1.8,1次过户,2021-4,2020-4,已过期,1.8T 158马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/cd/20f871b1683d3027x.htm
北汽幻速S6 2017款 1.5T CVT尊享型,严选车,5.74,原价6.15万,2016-12,3.87万公里,国五,1.5,1次过户,2020-12,2019-11,已过期,1.5T 150马力 L4,6档无级变速箱(CVT),https://www.guazi.com/cq/992d83d133ef2463x.htm
雪佛兰 科帕奇 2012款 2.4L 两驱城市版 5座,严选车,¥7.04,新车指导价23.90万(含税),2013-01,10.43万公里,国四,2.4,1次过户,2020-1,2020-1,已过期,2.4L 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/956dc4510c08412fx.htm
凯迪拉克XTS 2017款 28T 技术型,严选车,19.41,原价20.21万,2017-10,2.66万公里,国五,2.0,1次过户,2019-10,2019-10,已过期,2.0T 269马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/2593f12a0ccc83c8x.htm
雪佛兰 爱唯欧 2011款 三厢 1.4L MT SE,严选车,¥2.83,新车指导价9.50万(含税),2013-05,13.63万公里,国四,1.4,2次过户,2020-5,2019-5,已过期,1.4L 103马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/d1fd4958abe59a30x.htm
沃尔沃S60L 2016款 T4 智远版,严选车,15.03,原价15.27万,2016-04,8.05万公里,国五,2.0,0次过户,2020-4,2020-3,已过期,2.0T 190马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cq/f9937481bbae0205x.htm
长城M4 2012款 1.5L 手动豪华型,严选车,¥3.13,新车指导价7.40万(含税),2013-08,7.29万公里,国四,1.5,1次过户,2019-8,2019-8,2019-8,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/8600d1a87e91f0cax.htm
长城M4 2012款 1.5L 手动豪华型,严选车,¥2.89,新车指导价7.40万(含税),2013-07,9.68万公里,国四,1.5,1次过户,2019-7,2019-7,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/cd/ae39052bcaf02b65x.htm
宝马5系 2012款 523Li 豪华型,严选车,¥19.00,新车指导价53.70万(含税),2012-03,9.46万公里,国四,2.5,1次过户,2020-3,2020-3,已过期,2.5L 204马力 L6,8档手自一体变速箱(AT),https://www.guazi.com/cd/dcfc8388f0a989e3x.htm
宝马X1 2015款 sDrive18i 时尚晋级版,严选车,15.13,原价15.3万,2016-02,10.86万公里,国五,2.0,1次过户,2020-2,2020-5,已过期,2.0T 156马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/cd/b577e2f085643127x.htm
福特 锐界 2015款 2.0T GTDi 两驱豪锐型,严选车,15.07,原价15.17万,2016-01,12.38万公里,国五,2.0,1次过户,2020-1,2020-1,2020-1,2.0T 245马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/18cdb59291b0243dx.htm
本田 飞度 2018款 1.5L CVT舒适天窗版,准新车,¥7.50,新车指导价9.30万(含税),2018-09,0.72万公里,国五,1.5,2次过户,2020-9,2019-9,2019-9,1.5L 131马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/ty/0a6f0d0157b60a8cx.htm
大众POLO 2018款 1.5L Cross Polo 自动,降价急售,¥8.53,新车指导价12.50万(含税),2019-03,0.05万公里,国五,1.5,0次过户,2021-3,2020-3,已过期,1.5L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/su/f7ed4172b49e8307x.htm
雪佛兰 科鲁兹 2017款 1.5L 自动先锋天窗版,0过户,¥7.50,新车指导价13.60万(含税),2017-08,1.22万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5L 114马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/luoyang/aa58eed706d8e2cex.htm
