车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
别克 英朗 2014款 XT 1.6L 自动时尚版,严选车,¥5.58,新车指导价16.30万(含税),2015-01,6.22万公里,国四,1.6,0次过户,2021-1,2019-11,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/de3a96ae72e59b38x.htm
斯柯达 明锐 2017款 1.6L 自动创行版,严选车,¥7.54,新车指导价15.40万(含税),2017-03,3.18万公里,国五,1.6,0次过户,2021-3,2020-3,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/2d48bf398710aa46x.htm
大众 途观 2012款 1.8TSI 自动四驱菁英版,严选车,10.19,原价10.56万,2013-05,8.15万公里,国四,1.8,1次过户,2020-5,2019-8,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/17177f386c334f93x.htm
长安 逸动 2016款 1.6L 手动风尚型,严选车,¥3.65,新车指导价7.60万(含税),2016-11,3.17万公里,国五,1.6,0次过户,2020-11,2019-10,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhongshan/82c72884638c8487x.htm
雪佛兰 科鲁兹 2013款 1.6L SE MT,严选车,¥4.43,新车指导价13.00万(含税),2014-09,3.59万公里,国四,1.6,0次过户,2020-9,2019-9,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/91183d5048bce060x.htm
海马 福美来 2014款 M5 1.6L 手动精英型,严选车,¥3.00,新车指导价8.60万(含税),2014-12,6.66万公里,国四,1.6,0次过户,2020-12,2019-12,2019-12,1.6L 125马力 L4,6档手动变速箱(MT),https://www.guazi.com/foshan/405aa126b7e44dcex.htm
大众 途观 2013款 1.8TSI 自动两驱舒适版,严选车,10.55,原价11.03万,2014-06,7.13万公里,国五,1.8,0次过户,2020-6,2019-6,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/liuzhou/da64ae7c410d55afx.htm
起亚K3 2015款 1.6L 自动GL,严选车,¥5.42,新车指导价12.20万(含税),2015-06,8.28万公里,国五,1.6,0次过户,2019-6,2019-7,已过期,1.6L 128马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/934dd72bf78dc7c1x.htm
福特 翼虎 2015款 1.5L GTDi 两驱舒适型,严选车,¥10.01,新车指导价21.00万(含税),2016-05,4.78万公里,国五,1.5,0次过户,2020-5,2020-4,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/c903a5eed5975ff5x.htm
雪佛兰 科鲁兹 2013款 掀背 1.6L 手动豪华型,严选车,¥4.47,新车指导价12.60万(含税),2015-12,5.31万公里,国五,1.6,0次过户,2019-12,2019-11,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/a987c897c60aab69x.htm
别克 英朗 2012款 XT 1.6T 新锐运动版,严选车,5.15,原价5.44万,2013-05,5.22万公里,国四,1.6,2次过户,2020-5,2020-5,已过期,1.6T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/927b30668fee828ax.htm
现代 全新胜达 2015款 2.4L 自动两驱智能型 5座,严选车,¥12.43,新车指导价26.00万(含税),2015-07,3.5万公里,国五,2.4,0次过户,2019-7,2020-6,已过期,2.4L 189马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/548a6b1251675ae6x.htm
别克 昂科威 2014款 28T 四驱豪华型,严选车,12.39,原价12.74万,2014-11,6.8万公里,国五,2.0,1次过户,2020-11,2019-12,已过期,2.0T 260马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/huizhou/6b969af90e81dcc5x.htm
传祺GS4 2016款 235T G-DCT豪华版,严选车,¥8.28,新车指导价15.60万(含税),2017-08,1.09万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5T 152马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/b1095ef864f11e2dx.htm
