车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
大众 朗行 2015款 230TSI DSG舒适版,严选车,¥8.26,新车指导价16.30万(含税),2016-03,3.84万公里,国五,1.4,0次过户,2020-3,2020-3,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sh/225f9425113f8adax.htm
本田 思域 2013款 十周年纪念 1.8L 自动豪华版,严选车,¥6.99,新车指导价17.10万(含税),2013-05,6.27万公里,国四,1.8,0次过户,2020-5,2020-5,已过期,1.8L 141马力 L4,5档自动变速箱(AT),https://www.guazi.com/wenzhou/759c6bb3db00d33ax.htm
荣威950 2012款 2.4L 豪华行政版,严选车,6.18,原价6.54万,2012-10,8.82万公里,国四,2.4,1次过户,2019-10,2019-10,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/3fc42f1a8d17c3f6x.htm
丰田 锐志 2010款 2.5V 风尚菁英版,严选车,¥10.98,新车指导价28.20万(含税),2011-09,5.33万公里,国四,2.5,0次过户,2019-9,2019-9,已过期,2.5L 193马力 V6,6档手自一体变速箱(AT),https://www.guazi.com/sh/e006258dfe377dc6x.htm
大众POLO 2013款 1.6L 自动豪华版,严选车,¥5.15,新车指导价13.40万(含税),2013-11,5.49万公里,国四,1.6,0次过户,2019-11,2019-10,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/hz/0c0c48c8a9f845f7x.htm
大众 帕萨特 2016款 330TSI DSG尊荣版,严选车,13.42,原价13.51万,2016-09,4.4万公里,国五,1.8,1次过户,2020-9,2019-9,已过期,1.8T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/jinhua/305661012a678c90x.htm
别克 威朗 2017款 三厢 20T 双离合旗舰型,严选车,¥9.72,新车指导价21.70万(含税),2017-06,3.49万公里,国五,1.5,1次过户,2019-6,2019-6,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/hz/d711e44ea5a6c604x.htm
别克 昂科拉 2014款 1.4T 自动四驱全能旗舰型,严选车,7.13,原价7.5万,2014-05,5.01万公里,国四,1.4,1次过户,2020-5,2019-5,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/83d71e63a57ab8c5x.htm
本田 飞度 2018款 1.5L CVT舒适天窗版,准新车,¥7.50,新车指导价9.30万(含税),2018-09,0.72万公里,国五,1.5,2次过户,2020-9,2019-9,2019-9,1.5L 131马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/ty/0a6f0d0157b60a8cx.htm
别克 凯越 2013款 1.5L 手动经典型,严选车,2.91,原价3.03万,2013-04,4.84万公里,国四,1.5,0次过户,2020-4,2019-9,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/wenzhou/7c3e9450a387b095x.htm
大众POLO 2018款 1.5L Cross Polo 自动,降价急售,¥8.53,新车指导价12.50万(含税),2019-03,0.05万公里,国五,1.5,0次过户,2021-3,2020-3,已过期,1.5L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/su/f7ed4172b49e8307x.htm
荣威i6 2017款 20T 自动互联网智享版,严选车,8.12,原价8.5万,2019-05,0.03万公里,国五,1.5,0次过户,2021-5,2020-5,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/wenzhou/2003592ba041b567x.htm
吉利 博越 2016款 1.8TD 自动智联型,严选车,8.13,原价8.22万,2017-08,1.6万公里,国五,1.8,1次过户,2019-8,2019-8,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nb/fa975b2f72580f19x.htm
荣威i6 2017款 20T 自动互联网智享版,严选车,8.16,原价8.58万,2019-05,0.05万公里,国五,1.5,0次过户,2021-5,2020-5,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/wenzhou/7c1393f96af6dc07x.htm
雪佛兰 科鲁兹 2017款 1.5L 自动先锋天窗版,0过户,¥7.50,新车指导价13.60万(含税),2017-08,1.22万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5L 114马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/luoyang/aa58eed706d8e2cex.htm
雷诺 科雷傲 2015款 2.0L 两驱时尚版(进口),严选车,10.03,原价10.09万,2016-04,3.04万公里,国四,2.0,1次过户,2020-4,2020-4,已过期,2.0L 140马力 L4,6档无级变速箱(CVT),https://www.guazi.com/sh/36e105f617165d78x.htm
大众POLO 2013款 1.6L 自动舒适版,严选车,¥4.44,新车指导价12.10万(含税),2012-12,6.31万公里,国四,1.6,0次过户,2019-12,2019-12,2019-12,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/e68c36db59759d94x.htm
大众 高尔夫 2012款 1.4TSI 自动舒适型,严选车,6.55,原价6.6万,2013-06,3.92万公里,国四,1.4,1次过户,2019-6,2020-5,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sh/836394deb3ae8b2dx.htm
大众 朗逸 2013款 改款经典 1.6L 手动舒适版,严选车,5.00,原价5.16万,2014-07,7.5万公里,国四,1.6,2次过户,2020-7,2020-1,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/jinhua/67379e790b7412dbx.htm
大众POLO 2016款 1.4L 手动风尚型,降价急售,¥4.43,新车指导价8.20万(含税),2016-03,3.25万公里,国五,1.4,0次过户,2020-3,2020-3,已过期,1.4L 90马力 L4,5档手动变速箱(MT),https://www.guazi.com/linyi/934913c81f3d401ax.htm
雪佛兰 科鲁兹 2017款 1.4T 双离合先锋天窗版,严选车,7.47,原价7.94万,2017-05,2.82万公里,国五,1.4,1次过户,2021-5,2019-6,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sh/2d3649b49913986ax.htm
大众 宝来 2013款 1.6L 手动时尚型,严选车,¥4.28,新车指导价11.70万(含税),2013-06,5.98万公里,国四,1.6,0次过户,2019-6,2019-5,已过期,1.6L 105马力 L4,5档手动变速箱(MT),https://www.guazi.com/sh/31719c45bf9a3dc3x.htm
别克 凯越 2013款 1.5L 自动经典型,严选车,¥4.84,新车指导价11.10万(含税),2014-12,2.47万公里,国五,1.5,1次过户,2020-12,2019-11,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/jinhua/4a6be85cfa48cdd6x.htm
本田 雅阁 2012款 2.0L SE,严选车,¥9.18,新车指导价22.00万(含税),2012-02,6.78万公里,国四,2.0,1次过户,2020-2,2020-2,已过期,2.0L 156马力 L4,5档自动变速箱(AT),https://www.guazi.com/wenzhou/12a31115e711e21cx.htm
马自达6 2012款 2.0L 自动时尚型,严选车,¥6.35,新车指导价19.50万(含税),2012-09,6.13万公里,国四,2.0,1次过户,2019-9,2019-9,已过期,2.0L 147马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/nb/fb6e0f4b4aec4f42x.htm
日产 轩逸 2016款 1.6XV CVT智享版,0过户,¥7.60,新车指导价15.20万(含税),2016-07,9.66万公里,国五,1.6,0次过户,2020-7,2019-6,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/nb/775408fa7d014545x.htm
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,严选车,¥6.25,新车指导价19.70万(含税),2013-04,8.03万公里,国四,2.0,0次过户,2020-4,2020-4,2020-4,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/cb89fe50168f710ax.htm
大众 高尔夫 2011款 1.6 自动舒适型,,¥5.40,新车指导价15.20万(含税),2011-06,6.09万公里,国四,1.6,1次过户,2019-6,2019-6,已过期,1.6L 105马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/qd/cc00c35b11a0514dx.htm
荣威550 2013款 550S 1.8L 自动启臻版,严选车,¥4.57,新车指导价14.80万(含税),2013-11,1.26万公里,国四,1.8,0次过户,2019-11,2019-10,已过期,1.8L 133马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sh/72a0ff550c3939cdx.htm
福特 福克斯 2017款 两厢 1.6L 自动风尚型智行版,降价急售,¥7.30,新车指导价15.10万(含税),2016-10,3.79万公里,国五,1.6,0次过户,2020-10,2019-9,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/d40c7e941eb01dcdx.htm
丰田 雷凌 2016款 1.6G CVT精英版,0过户,¥8.20,新车指导价13.50万(含税),2016-05,6.24万公里,国五,1.6,0次过户,2020-5,2019-10,已过期,1.6L 122马力 L4,8档无级变速箱(CVT),https://www.guazi.com/wenzhou/8ac958befa3e5b2cx.htm
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,严选车,¥8.07,新车指导价19.70万(含税),2013-10,4.8万公里,国四,2.0,1次过户,2019-10,2019-10,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/hz/2da8f3f128404095x.htm
大众 途安 2013款 1.4T 自动舒适版5座,严选车,6.59,原价6.87万,2013-10,8.52万公里,国四,1.4,1次过户,2019-10,2019-10,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sh/b708bbd182f4738cx.htm
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,严选车,7.74,原价7.97万,2015-08,4.86万公里,国五,2.0,0次过户,2019-8,2019-8,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/wenzhou/4966695cb23d07fcx.htm
荣威950 2015款 1.8T 精英版,严选车,9.00,原价9.37万,2017-01,3.35万公里,国五,1.8,0次过户,2021-1,2019-12,已过期,1.8T 185马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sh/05edd5dcc76768cax.htm
大众 途安 2013款 1.4T 自动舒适版5座,严选车,¥7.75,新车指导价19.70万(含税),2013-06,5.76万公里,国四,1.4,1次过户,2019-6,2019-6,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sh/365f11214430bc91x.htm
别克 君越 2011款 2.4L SIDI雅致版,严选车,¥8.12,新车指导价25.50万(含税),2011-07,4.97万公里,国四,2.4,1次过户,2019-7,2019-7,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nb/700288a5b3dc64e8x.htm
大众 帕萨特 2011款 1.8TSI DSG尊荣版,严选车,¥9.19,新车指导价23.80万(含税),2011-10,8.43万公里,国四,1.8,1次过户,2019-10,2019-9,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sh/8b2c48d1df3373ddx.htm
丰田 凯美瑞 2013款 2.0G 舒适版,降价急售,¥10.00,新车指导价20.60万(含税),2013-12,7.58万公里,国四,2.0,1次过户,2019-12,2020-3,已过期,2.0L 148马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/nn/9b4edb28f0bbe490x.htm
大众 凌渡 2015款 330TSI DSG舒适版,降价急售,¥10.98,新车指导价21.20万(含税),2015-07,5.29万公里,国五,1.8,1次过户,2019-7,2019-7,已过期,1.8T 180马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/wx/043d9d2acb0ac4b3x.htm
雪佛兰 迈锐宝XL 2018款 530T 自动锐逸版,严选车,¥11.48,新车指导价22.20万(含税),2018-08,4.13万公里,国五,1.5,2次过户,2020-8,2019-7,已过期,1.5T 170马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/0a9c292d8b1d42bbx.htm
大众 速腾 2014款 改款 1.4TSI 手动豪华型,严选车,¥7.02,新车指导价16.70万(含税),2015-01,13.53万公里,国五,1.4,1次过户,2021-1,2019-12,已过期,1.4T 131马力 L4,5档手动变速箱(MT),https://www.guazi.com/shaoxing/f59e88b841f20805x.htm
别克 凯越 2013款 1.5L 自动尊享型,严选车,¥4.20,新车指导价12.60万(含税),2015-02,3.31万公里,国五,1.5,0次过户,2021-2,2020-2,2020-2,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/24a2dc4357063283x.htm
