车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
大众 朗行 2013款 1.6L 自动舒适型,严选车,6.84,原价6.94万,2014-11,6.75万公里,国四,1.6,0次过户,2020-11,2019-12,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dl/04254ca638aa571bx.htm
福特 福睿斯 2015款 1.5L 自动时尚型,严选车,¥5.67,新车指导价13.00万(含税),2015-11,7.1万公里,国五,1.5,0次过户,2019-11,2019-11,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dl/8dbd83fdebcea9c0x.htm
奇瑞 艾瑞泽5 2016款 1.5L 手动领潮版,严选车,¥3.65,新车指导价6.90万(含税),2016-07,1.52万公里,国五,1.5,0次过户,2020-7,2019-7,已过期,1.5L 116马力 L4,5档手动变速箱(MT),https://www.guazi.com/hrb/01ba80c84d5049c4x.htm
雪佛兰 科鲁兹 2012款 1.6L SE MT,严选车,4.04,原价4.11万,2013-01,3.29万公里,国四,1.6,1次过户,2020-1,2020-1,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/cc/d0879552e3864864x.htm
奔腾X80 2013款 2.0L 自动豪华型,严选车,¥5.58,新车指导价15.80万(含税),2013-07,9.55万公里,国四,2.0,1次过户,2019-7,2019-7,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cc/e04b453526afe0e4x.htm
别克 英朗 2013款 GT 1.6L 自动时尚版,严选车,4.88,原价5.02万,2013-05,5.05万公里,国四,1.6,1次过户,2020-5,2019-5,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dl/a803b8794aa694e7x.htm
大众 途观 2013款 1.8TSI 自动两驱风尚版,严选车,¥11.05,新车指导价23.00万(含税),2014-02,5.62万公里,国四,1.8,0次过户,2020-2,2020-1,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/hrb/776c3cb6a6f878e5x.htm
别克 英朗 2013款 GT 1.6L 自动时尚版,严选车,¥5.05,新车指导价16.60万(含税),2014-08,12.92万公里,国四,1.6,1次过户,2020-8,2019-7,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dl/e4c98283c2125ff7x.htm
大众 朗逸 2013款 改款经典 1.6L 手动风尚版,严选车,¥6.38,新车指导价12.30万(含税),2015-04,1.98万公里,国四,1.6,0次过户,2021-4,2020-4,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/cc/798b761740954299x.htm
别克 英朗 2013款 GT 1.6L 自动时尚版,严选车,¥6.33,新车指导价16.60万(含税),2013-06,1.85万公里,国四,1.6,0次过户,2019-6,2019-6,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/hrb/4f3430e903cd70d9x.htm
