车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
雪佛兰 科鲁兹 2013款 1.6L SE MT,严选车,¥4.43,新车指导价13.00万(含税),2014-09,3.59万公里,国四,1.6,0次过户,2020-9,2019-9,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/91183d5048bce060x.htm
斯柯达 明锐 2017款 1.6L 自动创行版,严选车,¥7.54,新车指导价15.40万(含税),2017-03,3.18万公里,国五,1.6,0次过户,2021-3,2020-3,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/2d48bf398710aa46x.htm
长安 逸动 2016款 1.6L 手动风尚型,严选车,¥3.65,新车指导价7.60万(含税),2016-11,3.17万公里,国五,1.6,0次过户,2020-11,2019-10,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhongshan/82c72884638c8487x.htm
传祺GS4 2016款 235T G-DCT豪华版,严选车,¥8.28,新车指导价15.60万(含税),2017-08,1.09万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5T 152马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/b1095ef864f11e2dx.htm
福特 福克斯 2012款 三厢 1.6L 自动舒适型,严选车,¥4.99,新车指导价14.20万(含税),2013-05,5.6万公里,国四,1.6,0次过户,2020-5,2020-5,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sz/259da745d79131d1x.htm
现代 全新胜达 2015款 2.4L 自动两驱智能型 5座,严选车,¥12.43,新车指导价26.00万(含税),2015-07,3.5万公里,国五,2.4,0次过户,2019-7,2020-6,已过期,2.4L 189马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/548a6b1251675ae6x.htm
别克 昂科威 2014款 28T 四驱豪华型,严选车,12.39,原价12.74万,2014-11,6.8万公里,国五,2.0,1次过户,2020-11,2019-12,已过期,2.0T 260马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/huizhou/6b969af90e81dcc5x.htm
起亚K3 2015款 1.6L 自动GL,严选车,¥5.42,新车指导价12.20万(含税),2015-06,8.28万公里,国五,1.6,0次过户,2019-6,2019-7,已过期,1.6L 128马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/934dd72bf78dc7c1x.htm
三菱 欧蓝德 2018款 2.4L 四驱精英版 5座,严选车,¥14.85,新车指导价20.80万(含税),2018-08,1.53万公里,国五,2.4,0次过户,2020-8,2019-8,2019-8,2.4L 192马力 L4,6档无级变速箱(CVT),https://www.guazi.com/dg/bf94f5a170a64a86x.htm
海马 福美来 2014款 M5 1.6L 手动精英型,严选车,¥3.00,新车指导价8.60万(含税),2014-12,6.66万公里,国四,1.6,0次过户,2020-12,2019-12,2019-12,1.6L 125马力 L4,6档手动变速箱(MT),https://www.guazi.com/foshan/405aa126b7e44dcex.htm
