车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
斯柯达 晶锐 2017款 1.4L 自动车享版,严选车,¥5.45,新车指导价9.20万(含税),2017-09,2.76万公里,国五,1.4,0次过户,2019-9,2019-11,已过期,1.4L 90马力 L4,6档自动变速箱(AT),https://www.guazi.com/xinxiang/077a87e01d6d8645x.htm
别克 英朗 2016款 15N 手动精英型,严选车,¥5.92,新车指导价12.70万(含税),2016-09,2.97万公里,国五,1.5,0次过户,2020-9,2019-9,已过期,1.5L 114马力 L4,5档手动变速箱(MT),https://www.guazi.com/xa/6b6240b951a011d6x.htm
大众 速腾 2015款 230TSI 自动豪华型,严选车,¥9.64,新车指导价18.50万(含税),2015-11,7.29万公里,国五,1.4,0次过户,2019-11,2019-11,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/ty/911ca2dcf0591b39x.htm
别克 凯越 2013款 1.5L 自动经典型,严选车,¥3.98,新车指导价11.10万(含税),2014-04,6.34万公里,国四,1.5,0次过户,2020-4,2020-4,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/xa/1ee9dc00eb3b2206x.htm
大众 宝来 2016款 1.6L 自动舒适型,严选车,¥8.05,新车指导价14.30万(含税),2016-12,5.3万公里,国五,1.6,0次过户,2020-12,2019-12,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/22a7988268f8e89dx.htm
大众 捷达 2015款 1.4L 手动时尚型,严选车,¥3.47,新车指导价9.00万(含税),2015-09,13.29万公里,国五,1.4,0次过户,2019-9,2019-8,已过期,1.4L 90马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/c173ee69d3f2e54dx.htm
雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座,严选车,7.50,原价7.57万,2013-12,9.53万公里,国四,2.4,0次过户,2019-12,2020-3,已过期,2.4L 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/2a3ff9159e16f62ex.htm
现代 名图 2014款 1.8L 自动智能型GLS,严选车,8.28,原价8.38万,2015-12,8.62万公里,国四,1.8,0次过户,2019-12,2019-12,已过期,1.8L 143马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/8e4a1072d8c27626x.htm
日产 逍客 2012款 2.0XV 雷 CVT 2WD,严选车,7.83,原价8.26万,2014-11,4.38万公里,国四,2.0,1次过户,2020-11,2019-10,已过期,2.0L 144马力 L4,6档无级变速箱(CVT),https://www.guazi.com/zz/57f3835a99083eaax.htm
吉利 帝豪 2015款 三厢 1.5L CVT向上版,严选车,¥4.81,新车指导价9.90万(含税),2015-11,6.03万公里,国五,1.5,0次过户,2019-11,2019-11,已过期,1.5L 109马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/zz/92208bfebcfa1d75x.htm
大众 速腾 2017款 180TSI 自动臻享版,严选车,¥9.80,新车指导价16.70万(含税),2017-10,2.31万公里,国五,1.2,0次过户,2019-10,2019-10,已过期,1.2T 110马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/xa/d64be6fc50ec62c9x.htm
比亚迪 速锐 2015款 改款 1.5L 手动豪华型,严选车,¥3.61,新车指导价8.30万(含税),2016-10,3.17万公里,国五,1.5,0次过户,2020-10,2019-9,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/7c7552dbe4696a17x.htm
别克 英朗 2017款 15N 手动精英型,严选车,6.00,原价6.38万,2017-06,4.45万公里,国五,1.5,0次过户,2019-6,2019-5,已过期,1.5L 114马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/c468ebb92ef3c3d0x.htm
宝马1系 2013款 改款 116i 都市型(进口),严选车,¥12.21,新车指导价30.60万(含税),2014-04,8.33万公里,国四,1.6,0次过户,2020-4,2020-4,已过期,1.6T 136马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/zz/4671313bec75a37fx.htm
日产 逍客 2017款 2.0L CVT智享版,严选车,11.21,原价12.01万,2017-10,2.9万公里,国五,2.0,1次过户,2019-10,2019-10,已过期,2.0L 150马力 L4,7档无级变速箱(CVT),https://www.guazi.com/zz/f399b92cf08203d5x.htm
现代 朗动 2016款 1.6L 自动智能型,严选车,¥6.50,新车指导价12.60万(含税),2016-10,5.22万公里,国五,1.6,0次过户,2020-10,2019-10,已过期,1.6L 128马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/ty/581468026ae34946x.htm
大众 途观 2016款 300TSI 自动两驱风尚版,严选车,¥14.48,新车指导价23.00万(含税),2017-11,2.1万公里,国五,1.8,1次过户,2019-11,2019-11,已过期,1.8T 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/cae89963e77951d1x.htm
奥迪Q5 2017款 40 TFSI 技术型,严选车,¥23.26,新车指导价46.40万(含税),2017-01,6.81万公里,国五,2.0,0次过户,2021-1,2020-1,已过期,2.0T 230马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/ty/84439f1cc378e328x.htm
大众 高尔夫 2011款 1.6 自动舒适型,,¥5.40,新车指导价15.20万(含税),2011-06,6.09万公里,国四,1.6,1次过户,2019-6,2019-6,已过期,1.6L 105马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/qd/cc00c35b11a0514dx.htm
大众POLO 2009款 劲取 1.4L 手动雅致版,严选车,2.66,原价2.9万,2011-05,6.03万公里,国四,1.4,1次过户,2020-5,2020-5,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/xa/7a09decd69b7f8cfx.htm
大众POLO 2009款 劲情 1.4L 手动时尚版,严选车,¥2.51,新车指导价9.30万(含税),2010-12,6.21万公里,国四,1.4,1次过户,2019-12,2019-12,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/9fa99ee7f476f59bx.htm
大众 速腾 2014款 1.6L 自动舒适型,严选车,¥7.56,新车指导价16.40万(含税),2013-11,3.31万公里,国四,1.6,0次过户,2019-11,2019-11,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/5c0d64918ccb6d36x.htm
大众 高尔夫 2016款 230TSI 自动豪华型,严选车,¥10.77,新车指导价18.00万(含税),2016-01,4.22万公里,国五,1.4,0次过户,2020-1,2020-2,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/zz/3acf670269819c93x.htm
大众POLO 2016款 1.4L 手动风尚型,降价急售,¥4.43,新车指导价8.20万(含税),2016-03,3.25万公里,国五,1.4,0次过户,2020-3,2020-3,已过期,1.4L 90马力 L4,5档手动变速箱(MT),https://www.guazi.com/linyi/934913c81f3d401ax.htm
大众 速腾 2014款 改款 1.6L 自动舒适型,严选车,¥7.36,新车指导价16.40万(含税),2014-06,5.42万公里,国四,1.6,0次过户,2020-6,2019-5,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/afc0d2e40c882a86x.htm
起亚K2 2015款 三厢 1.6L AT Premium,严选车,¥5.52,新车指导价11.10万(含税),2015-07,1.65万公里,国四,1.6,1次过户,2019-7,2019-7,已过期,1.6L 123马力 L4,4档自动变速箱(AT),https://www.guazi.com/xa/b15746c41cc08a79x.htm
雪佛兰 赛欧 2013款 三厢 1.2L 手动时尚幸福版,严选车,¥2.73,新车指导价6.40万(含税),2014-11,5.21万公里,国四,1.2,1次过户,2020-11,2019-10,已过期,1.2L 87马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/44a64398bc3da60bx.htm
丰田 威驰 2014款 1.3L 自动型尚版,严选车,¥5.23,新车指导价9.10万(含税),2014-03,1.71万公里,国四,1.3,1次过户,2020-3,2020-3,已过期,1.3L 99马力 L4,4档自动变速箱(AT),https://www.guazi.com/xa/81c50501e7d34c38x.htm
大众POLO 2018款 1.5L Cross Polo 自动,降价急售,¥8.53,新车指导价12.50万(含税),2019-03,0.05万公里,国五,1.5,0次过户,2021-3,2020-3,已过期,1.5L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/su/f7ed4172b49e8307x.htm
大众 捷达 2015款 质惠版 1.6L 手动时尚型,严选车,¥4.85,新车指导价9.30万(含税),2016-11,2.74万公里,国五,1.6,0次过户,2020-11,2019-11,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/058b6862cea0c050x.htm
起亚K3S 2014款 1.6L 自动GL,严选车,6.32,原价6.45万,2016-08,3.34万公里,国四,1.6,0次过户,2020-8,2019-9,已过期,1.6L 128马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zz/856be2108b097ff2x.htm
斯柯达 晶锐 2011款 1.4L 手动晶灵版,严选车,¥2.78,新车指导价9.50万(含税),2011-09,9.01万公里,国四,1.4,1次过户,2019-9,2019-10,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/afae6ddcaf111decx.htm
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,严选车,¥6.30,新车指导价19.70万(含税),2013-07,8.95万公里,国四,2.0,1次过户,2019-7,2020-1,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/ty/6c90125d4327988ex.htm
日产 轩逸 2012款 经典 1.6XE 自动舒适版,严选车,5.80,原价5.85万,2014-03,4.25万公里,国四,1.6,0次过户,2020-3,2019-6,已过期,1.6L 117马力 L4,4档自动变速箱(AT),https://www.guazi.com/zz/75b2f4f17b82798bx.htm
丰田 威驰 2013款 特装版 1.6L GL-i型尚天窗版 AT,严选车,¥5.07,新车指导价11.70万(含税),2013-09,3.66万公里,国四,1.6,1次过户,2019-9,2019-9,已过期,1.6L 118马力 L4,4档自动变速箱(AT),https://www.guazi.com/zz/71c15a3481e509f6x.htm
雪佛兰 赛欧 2013款 三厢 1.4L 手动优逸版,严选车,¥2.84,新车指导价7.50万(含税),2013-07,4.37万公里,国四,1.4,1次过户,2019-7,2019-7,已过期,1.4L 103马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/19bbba8703e5e6a8x.htm
福特 福克斯 2012款 两厢 1.6L 自动舒适型,严选车,¥5.36,新车指导价14.20万(含税),2013-10,5.43万公里,国四,1.6,0次过户,2019-10,2019-10,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zz/3a70a123dae804fex.htm
标致207 2011款 两厢 1.6L 手动驭乐版,严选车,2.60,原价2.66万,2014-03,4.69万公里,国四,1.4,1次过户,2020-3,2019-12,已过期,1.6L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/8ecfec1d834abd95x.htm
荣威350 2010款 350S 1.5L 自动迅达版,严选车,¥2.62,新车指导价10.90万(含税),2011-09,7.48万公里,国四,1.5,0次过户,2019-9,2019-9,已过期,1.5L 109马力 L4,4档自动变速箱(AT),https://www.guazi.com/zz/db52544b5f891560x.htm
雪佛兰 赛欧 2013款 三厢 1.4L AMT优逸版,严选车,¥3.60,新车指导价8.20万(含税),2014-03,4.65万公里,国四,1.4,0次过户,2020-3,2019-6,已过期,1.4L 103马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/zz/ff50b1fc32f48a6fx.htm
日产 骊威 2010款 劲悦版 1.6L 手动全能型,严选车,2.80,原价2.93万,2011-12,8.69万公里,国四,1.6,0次过户,2019-12,2020-2,已过期,1.6L 105马力 L4,5档手动变速箱(MT),https://www.guazi.com/ty/be2895f1c2139355x.htm
长安 悦翔V5 2012款 1.5L 手动运动型 国IV,严选车,2.56,原价2.61万,2014-01,2.62万公里,国四,1.5,1次过户,2020-4,2020-1,已过期,1.5L 114马力 L4,5档手动变速箱(MT),https://www.guazi.com/ty/b7ede774b337a96fx.htm
福特 福克斯 2015款 两厢 EcoBoost 125 手动超能风尚型,严选车,5.90,原价6.08万,2016-01,3.49万公里,国五,1.0,1次过户,2020-1,2019-12,已过期,1.0T 125马力 L3,5档手动变速箱(MT),https://www.guazi.com/zz/2fcd187f3e1bd657x.htm
起亚K2 2015款 三厢 1.4L MT GLS,,¥4.50,新车指导价8.50万(含税),2015-08,4万公里,国四,1.4,1次过户,2019-8,2019-8,已过期,1.4L 107马力 L4,5档手动变速箱(MT),https://www.guazi.com/jn/979b49f26138fd18x.htm
雪佛兰 科鲁兹 2013款 1.6L SL MT,0过户,¥4.00,新车指导价11.80万(含税),2014-03,6.88万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 121马力 L4,5档手动变速箱(MT),https://www.guazi.com/nb/f73f1f49c2b0dbc8x.htm
长安 逸动 2013款 1.6L 手动豪华型 国V,严选车,3.57,原价3.77万,2014-09,6.22万公里,国四,1.6,1次过户,2020-9,2019-9,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/xa/dd5a3b9f8b865436x.htm
