
车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
大众 朗行 2015款 1.6L 自动舒适版,严选车,8.69,原价8.78万,2016-06,1.97万公里,国五,1.6,0次过户,2020-6,2019-6,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/802b01209a0671edx.htm
海马M3 2015款 1.5L 手动精英型,严选车,¥3.17,新车指导价6.20万(含税),2016-01,2.79万公里,国五,1.5,0次过户,2020-1,2020-1,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/baoding/2a0f905dd4cfd81dx.htm
本田 飞度 2018款 1.5L CVT舒适天窗版,准新车,¥7.50,新车指导价9.30万(含税),2018-09,0.72万公里,国五,1.5,2次过户,2020-9,2019-9,2019-9,1.5L 131马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/ty/0a6f0d0157b60a8cx.htm
大众 桑塔纳 2013款 1.6L 手动风尚版,严选车,3.49,原价3.61万,2013-11,6.08万公里,国四,1.6,0次过户,2019-11,2019-12,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/e2c7fd70227b67acx.htm
大众POLO 2013款 1.4L 手动舒适版,严选车,¥3.97,新车指导价10.30万(含税),2014-01,4.98万公里,国四,1.4,0次过户,2020-1,2020-1,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/3a9e6a978122b875x.htm
大众 宝来 2013款 1.6L 自动时尚型,严选车,¥5.89,新车指导价13.00万(含税),2013-03,3.14万公里,国四,1.6,0次过户,2020-3,2020-3,2020-3,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/30d191e1f7e65f82x.htm
标致308 2012款 1.6L 自动优尚型,严选车,¥3.42,新车指导价12.40万(含税),2012-10,7.13万公里,国四,1.6,0次过户,2019-10,2019-10,已过期,1.6L 106马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/bj/c3f964556f7b9365x.htm
本田 锋范 2015款 1.5L CVT豪华版,严选车,¥7.06,新车指导价11.50万(含税),2015-11,1.81万公里,国五,1.5,0次过户,2019-11,2019-11,2019-10,1.5L 131马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/bj/1e210c6eefe05642x.htm
雪佛兰 科鲁兹 2017款 1.5L 自动先锋天窗版,0过户,¥7.50,新车指导价13.60万(含税),2017-08,1.22万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5L 114马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/luoyang/aa58eed706d8e2cex.htm
大众 朗行 2013款 1.4TSI 自动舒适型,严选车,¥7.75,新车指导价16.40万(含税),2015-06,2.85万公里,国四,1.4,0次过户,2021-6,2019-6,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/957dde730224f426x.htm
大众 迈腾 2011款 1.8TSI DSG舒适型,严选车,¥8.41,新车指导价24.60万(含税),2011-05,2.7万公里,国四,1.8,0次过户,2019-5,2019-5,已过期,1.8T 160马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/baoding/08cc8a2f9264d17cx.htm
大众POLO 2016款 1.4L 手动风尚型,降价急售,¥4.43,新车指导价8.20万(含税),2016-03,3.25万公里,国五,1.4,0次过户,2020-3,2020-3,已过期,1.4L 90马力 L4,5档手动变速箱(MT),https://www.guazi.com/linyi/934913c81f3d401ax.htm
