idx,y,px,pricenew,regtime,wkms,pd,lit,turbo,hp,stru,cys,regs,ycdate,jqdate,sydate,gears,gt
2,0.1782646319344019,0.15661899537059848,6.2,553,2.79,5,1.5,0,112,1,4,0,601,601,0,5,3
3,0.24934956385163054,0.13615473654779722,9.3,585,0.72,5,1.5,0,131,1,4,2,609,597,597,1,3
5,0.16138890238549986,0.15423757882495004,10.3,529,4.98,4,1.4,0,86,1,4,0,601,601,0,5,3
6,0.11897646654461214,0.1482585846515789,13,519,3.14,4,1.6,0,105,1,4,0,603,603,603,6,3
7,0.17568981373779602,0.1941672596498039,12.4,514,7.13,4,1.6,0,106,1,4,0,598,598,0,4,3
8,0.12729587247245155,0.12162259841041086,11.5,551,1.81,5,1.5,0,131,1,4,0,599,599,598,1,3
9,0.2772099138314066,0.186838445198593,13.6,572,1.22,5,1.5,0,114,1,4,0,596,596,0,6,3
10,0.17088558447148183,0.1688091705894017,16.4,546,2.85,4,1.4,1,131,1,4,0,618,594,0,7,3
11,0.1243444510445666,0.1426217901280717,24.6,497,2.7,4,1.8,1,160,1,4,0,593,593,0,6,3
12,0.17259153583647358,0.15423757882495004,8.2,555,3.25,5,1.4,0,90,1,4,0,603,603,0,5,3
13,0.17017562231584005,0.1688091705894017,16.6,545,4.66,5,1.6,0,110,1,4,0,617,604,604,6,3
14,0.1270808287974875,0.16990152902748204,12.3,520,4.79,4,1.6,0,110,1,4,0,604,604,0,5,3
15,0.20459619985919164,0.20861151305849066,16.6,541,4.68,5,1.6,0,121,1,4,1,613,600,0,6,3
21,0.1904431038323573,0.170487690106104,19.7,538,5.14,5,2,0,147,1,4,0,610,598,0,6,3
22,0.13426382108514856,0.15423757882495004,11.6,515,4.87,4,1.4,0,86,1,4,0,599,599,599,6,3
23,0.12134421421817843,0.14128132690987724,15.2,498,6.09,4,1.6,0,105,1,4,1,594,594,0,7,3
24,0.1646804945078345,0.16284195856335856,12.5,531,3.57,4,1.6,0,128,1,4,0,603,603,0,6,3
25,0.23857046701822626,0.18302603969191655,15.1,562,3.79,5,1.6,0,125,1,4,0,610,597,0,6,3
26,0.16908401204975465,0.1537838213438883,19.5,516,9.15,4,2,0,147,1,4,0,600,600,0,5,3
27,0.15224122793449668,0.15423757882495004,9.3,506,10.54,4,1.4,0,86,1,4,0,602,601,0,5,3
28,0.156996228446584,0.17911060429122985,21,539,4.63,5,2,0,154,1,4,1,611,599,599,6,3
30,0.132413222499687,0.14172684861117749,24.4,500,8.92,4,2.5,0,185,3,6,0,596,597,0,6,3
32,0.17011430543294748,0.1625772936659239,10.5,526,1.48,4,1.6,0,117,1,4,0,598,598,0,5,3
33,0.15325468763747285,0.17911060429122985,19.4,544,6.98,5,2,0,154,1,4,1,616,604,0,6,3
38,0.32142856331909553,0.2226675471582455,16.8,582,4.25,4,1.8,1,184,1,4,0,606,606,0,6,3
41,0.17334019956718671,0.16284195856335856,15.6,521,11.03,4,1.6,0,128,1,4,0,605,605,0,6,3
44,0.14014525864065275,0.1426217901280717,23.9,536,5.84,4,1.8,1,160,1,4,0,608,605,0,7,3
45,0.14023207018146766,0.1792916770545392,19.7,524,8.2,4,1.4,1,131,1,4,1,596,596,596,7,3
48,0.14644722218811612,0.14128132690987724,14.8,511,10.97,4,1.4,1,131,1,4,0,595,595,0,5,3
52,0.16290778640899006,0.16295428864666064,4.7,553,7.3,5,1.5,0,109,1,4,0,601,601,0,5,3
